Text,Sentiment
"TEK KELİME İLE KİLOMETRE TAŞI ÖLÜM SONSUZ YOLCULUKSA BÖYLE GİTMEK EN İYİSİ.. (BAZILARI SICAK SEVER) Harika bir kovalamaca sahnesi ile başlayan film..Daha sonra iş aramak için ajansların peşinden koşturan 2 adam.Görmemiş olacağı bir katliam ' ı malesef ki gördükten sonraki yapmış oldukları serüveni anlatıyor.Akıllarına bir fikir geliyor calışmış olduğu ajans yeri bir kemancı ve saksofoncu arıyor.Bunlardan yola çıkarak 2 hanımın yerine geçen gençlerin hikayelerine tanık oluyoruz..Harika bir senaryo olarak işlenmiş bir film var ortada öncelikle.. Olay sadece Romantik-Komedi ' ye bağlanmamış içine Suç ve Kovalamaca ' da katılmış.Film sadece Romantik komedi olsa belkide diğer yapımlara göre ahh yine mi bu tür film diyebilceğimiz gibi olabilirdi.Fakat yanılırdım.Çünkü filmi içerisinde verilmiş olan replikler o kadar güzel ki. Oyuncuların yapmış olduğu hareketleri , konuşmaları , mimikleri bu filmi diğer yapımlardan o kadar üstün kırıyor ki izlememek mümkün değil.. Genel olarak 2 adamın ' kadın kılığında aşık oldukları bir kız için vermiş olduğu yarışıda görüyoruz ortada..Fakat hiç beklemedikleri birşey çıkıyor ortaya.Hangisi ile uğraşmaları gerekmeleri lazım.. Erkek olarak Mafyadan Kaçmaları mı ? Kadın Olarak Erkeklerden Kaçmaları mı ? Film için sizi kahkaya boğan oyuncular varsa onlarda Jack Lemmon ve Tony Curtis ' dir.. Fakat benim söylemem gerekir ki etkilendiğim en iyi oyuncu Daphne karakterini oynayan J.Lemmon olmuştur.Bunun nedeni ise o role çabuk ve iyi ısınmış gibi bizlere göstermesidir.. 2 adam yerine elbette ortaya güzel bir bayan atarsak bu hele ki Marilyn Monroe ' ise artık film beni izleyin diye yakanıza yapışmıştır..Bugünde ne şans ' a ki CNBC-E kanalında oynayacak film için sizlere kesinlikle kaçırmamanızı öneririm.Eskiler her zaman iyidir ve güzeldir. NE KADAR SÜRDÜĞÜ ÖNEMLİ DEĞİL.KİMİ GÖTÜRDÜĞÜN ÖNEMLİ.. 2000 ylnda da Amerikan Film Enstitüsü tarafndan Tüm Zamanlarn En yi Amerikan Komedi Filmi olarak seçildi.",P
"russell crowe’un harika oyunculuğu,al pacino’nun yüzünün her çizgisinden ekrana yansıyan tecrübesi, michael mann gibi usta bir yönetmenle birleşince halkulade bir yapım çıkmış ortaya.sigara şirketlerinin iç yüzünün ifşa edilmesi de cabası...",P
"aslında diğer tipler bi işe yaramıyor,herşey matematik bilen kıza bağlanmış.ama çok güzel bir gerilimdi.özellikle kırmızı odalarda yüzlerinin aldığı şekiller falan korkutucuydu.her an bişey olacakmış hissi veren gerilimlerden biri.sonunda çok üzüldüm",P
birebir kopyası değil sadece hatırladığım kadarıyla kendi yorumumu da katarak filimden bir diyalog yazmak istiyorum sadece...:)şerif: dostum sen aşşağılk bi bisliksin silahsız bi adamı vurdun...Clint Eastwood: eğer dükkanını benim arkadaşımın cesediyle süsleyecekse silah taşıması gerektiğini bilmeliydi...ve bang bang bang... :)güzel filim ben hiç sıkılmadım izlemeyenlere izleyin derim..,P
ilginç bir film güsel bir film sonuda etkileyici isleyin :P,P
"leon un sinema dünyasında yeri bence tartışılmaz özellikle oyunculıklar harika heleki nathalie portman 12 yasındakı bır kız ıcın ve filmdekı rolune göre bakışlarını harıka oturtmuş..director's cut ı izleyenler varsa leon un aslında psıkolojısı bozuk ve zıhınsel yetısı az bı ınsan olduğunu yanı aslında 12 yasındakı mathılda dan bı farkı olmadığını o yuzden fılmde subyancılığın s sının bıle olmadığını farkederler helekı mathılda elbıseyı gıyıp geldığınde leon la yapılan konusmada...ayrıca fılm ın soundtrack i en iyiler arasındadır belkide helekı leon un evıne gırmeye calıstıklarında ve stansfıeld ın mathılda nın evını bastığında calan müzik ""noon"" hayatımda dınledığım en iyi müziklerden biri...kısacası leon deyınce kendımden geçiyorum izlemeyen herkese etrafımda ızlettım ve hiç olumsuz bişey duymadım burdakı yorumlardanda bellı izlemeyenler mutlaka ızlesınler...",P
"1.sinden sonra yine bu film iyi bence ama ""iyi"" değil yanlış anlaşılmasın 10/4",N
"""eger dükkanını benim en iyi arkadaşımın cesediyle dekore ediyorsa silah taşımalıydı"" eastwood",P
"bu filmi bunca zaman nasıl izlememişim.çok güzel bir film.de niro resmen oyunculuk dersi veriyor oscarı sonuna kadar haketmiş.martin scorsese ile yaptıkları en güzel film bence.dövüş sahneleri çok etkileyiciydi özellikle şampiyonluğu sugar ray’e teslim ettiği maç.işiyle yaşamını ayırt edemeyen,kontrolünü gidereken kaybeden bir boksörün dramı bu kadar güzel anlatılamazdı mutlaka izleyin..",P
"Çok sıkıcı bir film.Sizi uyumaktan alıkoyacak olan tek şey Charlize Theron u da zaten ellerinden geldiği kadar çirkinleştirmişler.Ortaya görsellikten, zeka dan, oyunculuktan uzak vasatın altında bir film çıkmış.Filmin bi ruhu olduğunu da düşünmüyorum açıkçası.Kötü bir film hemde bayağı bir kötü.",N
saçma sapan bir film.küçüklerin izlememesi gerekir ama sanki çocuklar için yapılmış izlenimi veriyor.bazı sahneler mide bulandırıcı,N
"tim burton film yapar da beğenmemek olur mu?bu adam tam bir atmosfer yaratma ustsı.beetlejuice ve batman'den sonra sleepy hollow!karanlık çekimler,dinmeyen bir tempo ve gerilim,johnny depp'in hayat verdiği örümceklerden korkan kahraman(!) ichabod crane.belki aşk hikayesi biraz kötü ama film gibi film işte",P
Çooook dandik bi film yani tam cine 5 lik artık ne diim... judi de olmasa yarısında çıkardım yane o kadar...,N
bir film bu kadar mı sıcak olup insanın içine işler?çok etkileyici....çok duygusal....insana dair yapılmış en müthiş filmlerden.robin williams'ın da iç burkan oyunculuğuyla daha güzelleşen bir yapım.,P
film hakkındaki yorumları okuduğumda neden bu film in gösterime girdiği bir yerde değilim diye eyvahlandım... bu akşam bir şekilde bu filmi izledim.. o kadar da ahım şahım bir film değil.. evet güzel ama sadece güzel.. bir katkısı olmadı bana...,N
Çerez filmlerden birisi. İlk başı güzel. İyi bir film olmalı diyorsunu; ama daha sonra her şey monotonlaşıveriyor.,N
"""üreten bizsek tüketen niçün biz olmayalım?"" düsturuyla önce bilinçelip, sonra örgütlenip, ardından da silahlanarak enternasyonal marşı eşliğinde devrime yürüyen zombi işçi sınıfının gurur verici hikayesi.. ben pek beğenmedim. izleyiciye ne bir alışıldık ""gore"" zombi korku filmi sundu, ne de vermek istediği toplumsal/ideolojik mesajı adam gibi işleyebildi. çok arada, hiç bir tarafa uzatılamayan bir film olmuş. o yüzden sinemadan ""boş"" bir hisle çıkartıyor. 6/10",N
Çok güzel bir film bence.Diğerlerini bunun kadar beğenmemiştim.,P
zaman kaybı..izlemeye değmez..,N
"yani güzel film görmesem bu filme güzel derdim, ama oldugu gibi zaman kaybı ne oyuncular ne de yönetmen bu filmi izlenebilir kılabilir. Dialoglar gayet basit konuşmalar filmin hiç bir vericiliği yok boş geldi bana.metinler klişe,hele tom cruiseun oyunculuğu cidden berbatmış ya,izlemeye değmeyen bir film,atmasyon gibiydi,fazlasıyla erotikti.",N
bu filmi kac kere izledim sayısını bilmiyorum. gercekten cok guzel bir film. müzikler müthis bu müziklerle buyudum diyebilirm. cocukken evde video vardı ve ben surekli film izler evde dans ederdim. hayatımda yer etmiş bir filmdir.,P
hiç güzel değil 1. sini de beğenmemiştim zaten sadece korkunç bir film filmine malzeme olma işine yaradılar :D,N
"filmler konusunda en büyük hayal kırıklıklarını korku türlerinde yaşadım. bu son bir haftada mesela iki tane daha; ju-on ve suspiria. özellikle suspiriayı çığır açıcak birşey bekliyordum, lakin tam bir fiyasko, müzikleri hariç.",N
bilim kurgu-gerilim tarzı filmlerin bu yapıt önünde eğilmesi gerekir.tek kelimeyle mükemmel...1979 yılında yapılan bu filmin üstüne su döken film gelmedi daha.. (2005) serinin devamı o kadar iyi değildi belkide ama 2.si en az 1 kadar başarılı...,P
"'Desperado'nun devamı niteliğindeki film, Rodriguez'in Meksika üçlemesinin de son ayağı. Oyuncu kadrosunu popüler isimler ile zenginleştiren film, bir stüdyo filmi olmasına rağmen bir B filmi tadında. Bu yüzden de herkese göre olduğunu söyleyemem. Bol bol patlayan silahlar bir süre sonra rahatsız edici bir gürültü topluluğuna dönüşüyor, Banderas ve tüm karakterlerin örümcek misali oradan oraya atlayarak ateş etmesi bir süre sonra sıkıcı olmaya başlıyor. Ben keyif alamadım, sizi bilemem... (5-10)",N
Filmi izlerken kendimi bir anda müziklere kaptırdım. Çok akıcı bir film. Sonunun nasıl geldiğini anlamadım. Müzikler çok akılda kalıcı. (This is Halloween ve What’s this). İnsanın sürekli söyleyesi geliyor. Animasyonlar çok iyi canlandırılmış. Yaratıcılık da süper.,P
nicolas cage e katılıyorum tam bir vakit kaybı sonuna kadar nasıl dayandım bilmiyorum,N
"Mel Gibson'un Max Rockatansky adinda bikkin bir polisi canlandirdigi film, pesine düstügü çetenin yardimcisini öldürmesinden sonra kendisini ve ailesini hayatta tutmak için harekete geçen bir polisin hikayesini anlatiyor.Öyküsüyle degil, daha çok yakin gelecek olarak tasvir edilen, kiyamet sonrasi atmosferiyle dikkatleri üzerine çeken filmin ardindan iki devam filmi daha yapildiNükleer savas sonrasi harap ve bitap düsmüs Avustralya. Ilk filmden hatirladigimiz çilgin Max, ailesini kaybettikten sonra kendisini yollara vurmustur. Insanlarin ulasimlarini saglayacak petrol için yasadigi bir bölgede çetelerin baskisi altinda olan bir grubun yanina siginir ve güvenliklerini saglamaya çalisir.Pek çok kaynakda ilk filmden daha basarili bulunan devam filmi Yol Savascisi, bilim kurgu-western-kara film arasindaki sinirlari flu'lastirarak, oldukça etkileyici bir çalisma ortaya çikariyor.Filmin basarisindan sonra pek çok taklidi yapildi. Basarisiz bir film olan, Su Dünyasi'da Mad Max'in devam filmi Road Warrior'un izlerini tasir.Geçen maceranin üzerinden 15 yil geçmis ve nükleer savas, uygarlik adina ne varsa silip süpürmüstür. Çilgin Max, kendisi için bir siginak ararken, çölün kiyisindaki Bartertown'a gelir. Bir süre sonra kendisini üçüncü kez, bulundugu yeri ve çölü korurken bulacaktir..Ilk iki filmin karamsar havasindan uzak bir Mad Max. Özellikle de ikinci Mad Max filmi Yol savasçisinin varolusçu, nihilist atmosferinin, yerini daha umut dolu bir dünyaya biraktigini görüyoruz.Filmin oyuncu kadrosunda, Tina Turner'da yer aliyor.",P
"filmin tek kurtaricisi johnny depp. ne yapsam da filmi uzatsam, seyirciyi sıksam diye dusunen bir yonetmenin eseri..",N
açıkçası ben filmden aksiyonu bol bi dövüş bekliyordum ama beklentilerimi karşılamadığı için beğenmedim filmi10/2,N
mathilda1988 arkadaşım çok beğendiysen filmi anlamışsındır ne olur bizede anlat her karışık film güzel film değildir fight clupta karışık ama filmden çıktığında herkesin kafası net burda ritchie ise bazı kısımları çözmeleri için seyirciye bırakmış ama gerekli ipuclarını bence vermemiş ve bize bir kördüğüm bırakmış.,N
sinema dergisine goren en iyi aksiyon filmi olarak gorülmüştür.Ki gerçektende oyeledir.John Woonun hollywooda gitmeden onceki son filmidir.İzlenilmelidir.,P
"Tam bir başyapıt. Oyunculuklar hat safhada. Anlatım gayet akıcı. Atmosfer çok güzel, film hiç sıkmıyor. Robert De Niro harika bir performans sergilemiş. 10/10Ek bir bilgi : Sıkı Dostlar', 2000 yılında Amerika Birleşik Devletleri Kongre Kütüphanesi tarafından 'kültürel, tarihi ve estetik olarak önemli' filmler arasına seçilerek ABD Ulusal Film Arşivinde muhafaza edilmesine karar verilmiştir.",P
"Romantik-Dram türünde zirvedeki film.İzleyiciyi sıkmayan harika bir başyapıt... ""Kazablanka"", 1989 yılında Amerika Birleşik Devletleri Kongre Kütüphanesi tarafından ""kültürel, tarihi ve estetik olarak önemli"" filmler arasına seçilerek ABD Ulusal Film Arşivinde muhafaza edilmesine karar verilmiştir. BU filmi , Abd arşivinde olduğu gibi herkes arşivinde muhafaza etmeli diye düşünüyorum. ŞahEser... 10/9",P
süper ötesi bir filmdi we tabii ki edward norton,P
gelmiş geçmiş en iyi savaş karşıtı film.,P
sener sen ve ugur yucel baska soze ne gerek ızlemeyen kaldıysa ne duruyosun sıddetle tavsıye edıyorum ızle,P
"al pacino rol yapmıyor adeta tony montana yı yaşıyor ,,ve onu izlemek insanı büyülüyor hiç bitmesin istiyor insan ,,,izlemediyseniz çok ama çok şey kaybettiniz ,4 4 lük harika bir film",P
Vaktinizi boşuna harcamayın. Bu film nasıl bu kadar yüksek puan alır hayret ettim..,N
sırf nicolas cage için bile izlenebilir ama barda ve ambulanta geçen sahneler benim için artık bir klasik haline geldi.,P
zaman kaybı oldugunu bastan söyleyeyim. ille izleyelim diyorsanız yanınıza bir arkadas birazda cekirdek alın siz sohbet ederken film biter nasıl olsa...,N
Bu filmi korku filmi diye yapıp gösterime sokanın film anlayışına şaşıyorum.Yani komedi filmi olsa belki daha çok seyirci tarafından izlenirdi.Tek kelimeyke KOMİK...,N
"Bir David Fincher filmi , oyuncular Brad Pitt ve Edward Norton daha ne olsun gerçekten , film o kadar dikkatli izlenmesi gereken bir filmki söylenen sözlerin tam anlaşılması için şahsen ben 2.kere izlediğimde herşey yerine oturdu hatta bazı yerleri durdurup not bile aldığım oldu gerçekten çok iyi film , başyapıt.",P
süperman bence yapılmaması gereken bir filmdi. seyretmedim seyretmeye değerde bulmuyorum açıkcası. kendi kendini tekrar etmiş gibi geliyor çünkü bana...,N
"2. panın labirenti vakası.. yorumlara ve puanlara aldanıp sakın ola izlemeyin sıkıntıdan geberirsiniz:) filmde güzel bi konu var eyvallah.. deişik bi son var onada eyvallah.. ama o derece kötü işlenmişki 20 kere acaba doğru filmimi izliorum diye düşünüyorsunuz. eger bu yorumlar bu puan olmasa yarısında filmi kapatırdım ve hiç bişeyde kaçırmazdım. yorumlara bakmadan filmi bitirebilen arkadaşlarıda tebrik ediyorum. gereksiz diyologlarla dolu, müzik olmıyan, görüntü kalitesi kötü bir film.. bu filmi abd çekseydi inanın 10 üzerinden 2 alırdı. uzakdoğu sineması diye tolere edilmiş bi film..",N
bu film bir baş yapıt...ve kesinlikle arşivlerde bulunması gerekir...Al Pacino gövde gösterisi yapmıştır...favori 10 filmlik listemde 3. sıradaki yerini de her zaman korur...3 defa izledim filmi...daha da izlerim... (10/10),P
"cogu kisi filme dönem filmi olarak yaklasmis yani filmin amaci sanki o dönemi anlatmakmis gibi.. belkide filmin amaci o dönemi anlatmak degildi, belki anlatilmak istenen seyin sergilenmesi icin en uygun dönem o dönemdi de, bu yüzden 80ler glam era secildi.. tabiki herkesin filmden cikardigi seyler cok farkli.. kimisi kendine ters seyler sergilendi diye nefret ediyor..kimisi oh yeah rocknroll baby diyerek gözü kapali 10puan veriyor.. bence gayet basarili ve izlenilmesi gereken bir film. bence bu filmde ne anlatiliyor.. belki yorumlari okuyanlar arasinda filmi izlemeyenler vardir diye yazmiyorm..sadece sunu diyebilirim. taktir ettigim bir film.",P
Film baştan sona sıkıcı. Resmen uykumu getirdi. Film demeye bile dilim varmıyor. Çok özürdülerim ama bu puanın yarısın bile haketmiyor. Hayatımda izlediğim en kötü film.1/10,N
Pek kalitesiz bir film bu,N
Bu bir film mi bilmiyorum.Açıkcası edebiyattaki deneme tarzı gibi bir şey...Türüne dram demek ne kadar doğru olur onu da bilmiyorum. Bazı diyolaoglar usanç verici. Garip ve sıkıcı bir film bence (4/10),N
Süper bir animasyon,P
"Yarı insan yarı vampir Dampyr’lere birçok yerde rastlıyoruz (yine bir çizgi romandan uyarlanan Blade karakteri gibi). Dampyrin 'D'sini kendine ad olarak seçen bu yalnız kovboyun ikinci anime uyarlaması, ilk filme göre daha rafine ve steril tabii ki. Çizimler daha artistik, zamanla teknik te ilerliyor. Bol karakterli yapısı biraz Ninja Scroll’a benzese de onun düzeyine pek ulaşamıyor. Bilindik Japon duygusallığıyla kotarılmış finali bir artısı. Güzel bir seyirlik ama ilk filmi daha çok öneririm.",P
"tim abimize demişlerki bak yaptığın filmin ilki tuttu devamıı getirelim.e sinemasever dostlarım biliyorsunuuzki tim abimiz kolay kolay devam filmi çekmez.mırın kırın etmiş ama sonunda kabul etmiş.sonra sinemadan anlamıyan insanlar yüzünden ikinci filme pek giden olmamış. yapımcı gelmiş üçüncü filmi başka yönetmen alacak demiş ve dediğinide yapmış.bu masalın devamını sinemasever olan biliyor zaten.demekki neymiş,,, tim abimize yamuk olmaz.",P
İyi de birincisi ne kadar güzeldi ki ikincisini çekiyorlar?...,N
"oyunun fanatikleri tarafından çok beğenilecek olan filmin,bizim gibi senaryoyu ilk defa görenleri pek hoşnut etmeyeceği kesin.karakterlerin anlamsızlığıyla yoğrulan ve iç karartıcı mekanlara boğulmuş bir film.tamam türü gereği mekanların karanlık ve gizemli olması anlaşılabilir fakat düşman olarak nitelendirilen karakterler aşırı fantastik olmuş.filmin verdiği mesaja uymuyor.finaldeki kanlı sahneler görsel olarak tamin edici olduysa da 5/10...",N
Ya arkadaşlar bu kadar övgüden sonra izledim ve anladım ki filmlere sizin gibi bakamıyorum çok sıkıldım ve bazı sahnelerde gülsem mi harcadığım zamana ağlasam mı anlamadım yani benim gibilere şiddetle tavsiye etmiyorum!...,N
kavga ve binalara tırmanma sahneleri fena degildi ama film pek izlenmeye değmez,N
"Filmi dün sinemada izledim ama beğenmedim sıkıcı ve ağır giden bir filmdi. Johnny Depp filmde gayet güzel oynamış filmi kurtaran oyuncuda diyebiliriz yani, Helena Bonham Carter'a da gothic rolü yakışmış. Johnny ve Helena filmde çok iyi bir ikili oluşturmuşlar.Tim Burton ve Johnny Depp işbirliği ile yapılmış bir film yani klasik Tim Burton filmi eğer bu yönetmenin filmlerini seviyorsanız izleyin derim bunun dışında müzikal ve Tim Burton filmleri sevmeyenlere tavsiye etmiyorum.",N
slm arkadaşlar bu filmin adını çok duymuştum ama izlemek daha yeni kısmet oldu ve film beni çarptı arkadaşlar BU FİLMDE HERŞEY VAR ve brad pitt harika bir çok filminden daha iyi bir performans sergilemiş bu film artık benim KLASİKlerim arasında eğer hala izlemeyen varsa .KESİNİKLE izlesin.,P
dracula deyince karşımda kont strahd von zarovich gibi karizmatik bir vampir bekliyordum ve biraz olsun gerileceğimi umuyordum ama bizim draculamız sanki defileye çıkarmış gibi yürüyüp komik hal ve tavırlarıyla eğlendirdi bizi .gerçekten korkunç komik rezilimsi bir filmdi,N
taksi+gazap ateşinden bir senaryo yazıp film yapmışlar.çok gereksiz olmuş.taşıyıcı 1 in ismini kullanıp para kazanmaya çalışmışlar aldanmayın :),N
Sinema tarihinde yeni bir çağ başaltan kült bilimkurgu filmi.Söylenecek fazla söz yok mutlaka izlenmesi gerekir.,P
Bir adamın her türlü baskıya karşı yazı yazma aşkı akıllardan hiç çıkmayacak gibi.Çok etkilenerek izlediğim nadir filmlerden biri diyebilirim.Marquis De Sade'nin yaşam öyküsünü canlandıran Geoffrey Rush ise olağanüstü oynamış.,P
beni en çok etkileyen sahne filmin sonunda okulda geçen sahne oldu. al pacino dan başka kimsenin bu rolün yüklediği duyguyu bu kadar iyi yansıtabileceğini düşünmüyorum. al pacinonun bi çok filmini sadece al pacino nun varlığı için izledim ve hiç bi filmini de izlediğime pişman olmadım. iyi bi aktörden iyi bir film daha...,P
"İnsana değişik duygular yaşatabilen , gerilimli , sürükleyici , enfes bir film Misery . James Caan'ın performansı da ayakta alkışlanır , o nasıl bir performans öyle ... Kesinlikle görün bu şaheseri ... 5/4.5 ...",P
"Gerçekten harika... izleyin, izlettirin...",P
Güzel bi filmdi zaten star wars serisinin bütün filmleri güzeldir,P
çççç... ne denir ki şimdi kaç yıldır bekliyoz bu mu yani güzel ama beklentilerimizin çok asagısında çok az alsıyon var duygusal tarafı çok artırılmış olmamıs ama güzel sahneler de var,N
Mükemmel...,P
Film tek kelimeyle müthiş...Bide izledikten sonra elazığ versiyonunu izleyince gülmekten yere yatmamak mümkün değil...Elazığ versiyonunu izlemeyen varsa izlesin felaket komik,P
Garip bir filim olmus. Katil kim konulu cinayet romanı edasında ama onlar kadar da karmaşık deil. Bi de o illacın ve bruce amcanın filimde pek bir etkisi olmamış bence illaç herhangi zehir bruce amca yerine de patron edalı bir adam koyabilirlerdi .,N
"Charles Chaplin, nam-ı diğer Şarlonun 7.sanata yapmış olduğu büyük katkı yadsınamaz bir gerçek.. Her filmi birbirinden değerli üstadın, sistem eleştirisini, mizah ile harika buluşturduğu eseri Modern Times, gerçek bir başyapıt.. Müzikleri, özellikle de Şarlonun enfes performansı ile finali, unutulmaz...",P
Eğlenceli bir orta yaş komedisiydi...,P
hayatımda ızledıgım en kotu fılmdı..ben gerılmek korkmak ıcın gıttım sıkıntıdan patladım...cok sacmaydı konusu bence,N
"tamamen saçmalık, hiçbir amacı ve kurgusu olmayan bir film. Sakın ilk filmi izlemeyin insan merak ediyo acaba ne çıkacak ortaya diye 2 ve 3 ü de izlemek zorunda kalıyorsunuz ama 3. filmin sonunda da hiçbir sonuç ortaya çıkmıyo. Zaten deney olduğu başından belliydi lakin ne amaçla yapıldığı ortaya çıkmıyo.. Vakit kaybı.. Verilen puanı da anlamış değilim zaten",N
"arnold olmadan bu filmin sadece ""adı"" terminator olur, kendisi başka bişe olur. ne kadar görsel efektlerle süsleselerde aksiyon doldursalarda serinin önceki filmlerindeki tad asla olmayacak tıpkı Sigourney Weaver sız ""alien"" serisinin devam facialarında olduğu gibi...",N
"yahu bunun neyine 9 oscar vermişler anlamadım gitti..inanın bu film övgüyü değil emeği de dahil okkalı bir sövgüyü hakediyor.. filmin tesir gücü sıfır, anlatımı ağır ve sıkıcı, sürpriz yok, hadi aksiyondan da geçtim, bi kere aşk ve romantizm adına zerre kadar bir etkisi de yok; daha doğrusu alakası bile yok..o duyguyu o havayı vermiyor;('Emmanuella' tarzı bir meşkten öte bir şey değil) yani anlatabildim mi?!..))))) ve son olarak; bu filmin bu kadar oscar'ı 'hakettiğini'değil, bilakis tam anlamıyla 'b..ettiğini' düşünüyorum.. eğer bu garabet 9 oscar almışsa bizim 'Eşkıya' nın 19 oscar alması gerekirdi..!",N
"Konu basit, hiç sürpriz yok, oyunculukları beğenmedim, eğlendiğim de söylenemez..Filmlere +13 +18 gibi işaretler koyacaklarına bazılarına da -13 koymaları gerekir mesela bu filme :) Tek olumlu yanı Anne Hathaway'in ortaya çıkması yoksa Havoc'da izleyemezdik :)",N
Dönmeseymiş de olurmuş.,N
"neredeyse bütün filmler para için yapılıyo ama içinde anlamlı olanlarıda oluyo....bu sıradan bi eğlencelik,farklı bi yanı varsada ben bilmiyorum...",N
"tarkovskinin günlüğünden derlenmiş mühürlenmiş zaman adlı kitabında yönetmenin felsefesinin ne olduğunu çok net anlıyorsunuz BaNa GöRE: kitabı okuduktan sonra filmi tekrar izledim yönetmen aşırı dinci bir adam olduğu için film tanrının varlığını sorguluyo o yüzden doğa manzaraları müzik ışık yağmur vb. kullanılarak bizlere anlatmaya (daha doğrusu tanrının varlığını sorgulamak,insanın yaratılış gayesi)çalışmış.Zaten başka temalar kullansaydı bu kadar etkilenmezdim.(man from earth filminde olduğu gibi sırf konuşma olsaydı) Beğenen arkadaşlara ingmar bergman tavsiye ""Sanat ideale duyulan özlemdir"" Andrei Tarkovski",P
"çok küçükken, korku filmi saplantılarımın olduğu dönemlerde izlediğim bu filmi hala unutamıyorum...bir korku klasiği..tekrar izlemek istiyorum ama bulamıyorum..Bu konuda yardımcı olacak arkadaşlar varsa müteşekkür olurum",P
"ya ben anlamadım, ya anlatamadı ya da siz karar verin..psikolojik parçalı bulutlu nevrotik bir film..",N
Binlerce film izledim.Son senelerin filmlerinide çok iyi takip ederim.Ama ben böylesini görmedim.Mükemmel kelimesi bile bu filmin yanında küçük kalır.Çünkü onun ötesinde birşey.. Mükemmel oyunculuk &amp; Mükemmel senaryo = 100 üzerinden 100.İzlemeyen çok şey kaybeder.Film kendisine aşık ettiriyor adeta.,P
Eklemeyi unuttuğum küçük bi anektod ennio Morricone nın film için yaptığı müzikler inanılmaz güzel..filme o kadar güzel örtüşmüşki.ben müzikleri dinlediğimde şahsen çok duygulandım.,P
güzel izleyin...,P
Öncelikle bu film pek güzel ve öyle 350 milyon dolarları hakedecek bir film değil. Çocuklara hitap ediyor tamam. Anne babalar da çocuklarını götürdükleri için hasılatı şişiyor ama bence çok sıradan ve vasat bir film. Yüzüklerin Efendisi muhteşem bir eser ancak filmi hiç de eser kadar başarılı değil ve hiç beklenileni verememiş durumda bence zaten ikisi de fantastik film olsalar da hitap ettiği kitleler farklı iki filmin.,N
